_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,note-2:note_type,note-2:note_value,note-3:note_type,note-3:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,omeka_identifier-1:omeka_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1.name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_usage_primary,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,object_in_context_url-1:object_in_context_url_value,location-1:location_term.value,location-1:location_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,digital_origin-1:digital_origin_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.name_type,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,abstract-1:abstract_value,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,_project.string_key
RBML_NYCCC_100131052c_001,RBML_NYCCC_100131052c,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131052c,filename,httpwwwcolumbia_a9791f901e.educgi-binculdevdlo2obj=rbml_nyccc_100131052c,The,New 1000 Foot Piers,,,2741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131052b,,item,,,,,The,Same Territory When Improved,166,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,February 1914,1914-02,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Piers,fast,http://id.worldcat.org/fast/01063893,Steamboats,fast,http://id.worldcat.org/fast/01132443,Harbors,fast,http://id.worldcat.org/fast/951219,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,"""This illustration shows the same territory as it will appear when improvements are completed""","Bulletin, Vol. 5, 1913 May-1914 April",New York Chamber of Commerce,New York,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131052b_001,RBML_NYCCC_100131052b,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131052b,filename,httpwwwcolumbia_85b51cc7fc.educgi-binculdevdlo2obj=rbml_nyccc_100131052b,The,Same Territory When Improved,,,2740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131052a,,item,,,,,,North River Water Front Near 44th Street,166,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,Pictorial News Co.,corporate,,,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,TRUE,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,February 1914,1914-02,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Harbors,fast,http://id.worldcat.org/fast/00951219,Rivers,fast,http://id.worldcat.org/fast/01098312,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,"Bulletin, Vol. 5, 1913 May-1914 April",New York Chamber of Commerce,New York,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131052a_001,RBML_NYCCC_100131052a,asset,original filename,RBML_NYCCC_100131052.jpg|http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131052a,filename,httpwwwcolumbia_e8a9d8b390.educgi-binculdevdlo2obj=rbml_nyccc_100131052a,,North River Water Front Near 44th Street,,,2739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/building/bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131052,,item,,,,,,Congestion and its Relief,166,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,February 1914,1914-02,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Piers,fast,http://id.worldcat.org/fast/01063893,Harbors,fast,http://id.worldcat.org/fast/00951219,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,"""An interesting sketch showing existing traffic conditions Pier No. 27, North River, and the plan proposed by the Dock Commissioner to correct the same.""","Bulletin, Vol. 5, 1913 May-1914 April",New York Chamber of Commerce,New York,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131052_001,RBML_NYCCC_100131052,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131052,filename,rbml_nyccc_100131052_4c2cf62b82.jpg,,Congestion and its Relief,,,2738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/building/bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131051,,item,,,,,,"Letter by John Purroy Mitchel, May 26, 1914",234,4,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VII: Correspondence, 1804-1979",2,subseries,"Subseries VII.3: Subject Files, 1804-1979 ","Mitchel, John Purroy, 1879-1918",personal,naf,http://id.loc.gov/authorities/names/n96112094,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"May 26, 1914",1914-05-26,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Infants--Mortality,fast,http://id.worldcat.org/fast/00972161,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,"In May 1914, Mayor John Purroy Mitchel requested that the Chamber of Commerce support one of his many reform initiatives, Baby Week.",,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131051_001,RBML_NYCCC_100131051,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131051,filename,httpwwwcolumbia_494ce34518.educgi-binculdevdlo2obj=rbml_nyccc_100131051,,Page 1,,,2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/workers/baby_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131051_002,RBML_NYCCC_100131051,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131051a,filename,httpwwwcolumbia_477dda103f.educgi-binculdevdlo2obj=rbml_nyccc_100131051a,,Page 2,,,2737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131050,,item,,,,,,Red Cross Line,279,11,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ",Red Cross Line,corporate,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,TRUE,,,,,,,,,text,documents,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003185,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,1879,1879,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131050_001,RBML_NYCCC_100131050,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131050,filename,httpwwwcolumbia_ba72648a17.educgi-binculdevdlo2obj=rbml_nyccc_100131050,,Red Cross Line,,,2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/building/harbor2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131049,,item,,,,,,Strike Threats Against the Public,178,2,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce. Executive Committee,corporate,naf,http://id.loc.gov/authorities/names/no2020120333,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,reports,aat,http://vocab.getty.edu/aat/300027267,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"December 22, 1961",1961-12-22,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Strikes and lockouts,fast,http://id.worldcat.org/fast/01135030,,,,,,,,,,,,,,"From Bulletin, Vol. 53, 1961 May-1962 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131049_001,RBML_NYCCC_100131049,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131049a,filename,httpwwwcolumbia_dbf1d587a8.educgi-binculdevdlo2obj=rbml_nyccc_100131049a,,Page 366,,,2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131049_002,RBML_NYCCC_100131049,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131049b,filename,httpwwwcolumbia_02e990a2ab.educgi-binculdevdlo2obj=rbml_nyccc_100131049b,,Page 367,,,2734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131048,,item,,,,,,Endorsing a World Trade Center,178,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,reports,aat,http://vocab.getty.edu/aat/300027267,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"March 22, 1961",1961-03-22,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,International trade,fast,http://id.worldcat.org/fast/00977128,Commerce,fast,http://id.worldcat.org/fast/00869279,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,"Bulletin, Vol. 52, 1960 May-1961 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131048_001,RBML_NYCCC_100131048,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131048,filename,httpwwwcolumbia_5a8658a022.educgi-binculdevdlo2obj=rbml_nyccc_100131048,,Page 530,,,2730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/prologue/impulse2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131048_002,RBML_NYCCC_100131048,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131048a,filename,httpwwwcolumbia_ab65bdb827.educgi-binculdevdlo2obj=rbml_nyccc_100131048a,,Page 531,,,2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131048_003,RBML_NYCCC_100131048,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131048b,filename,httpwwwcolumbia_31b12f494f.educgi-binculdevdlo2obj=rbml_nyccc_100131048b,,Page 532,,,2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131047,,item,,,,,,Wiretapping and Crime Detection,178,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce. Committee on Law Reform,corporate,naf,http://id.loc.gov/authorities/names/no2020120880,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,reports,aat,http://vocab.getty.edu/aat/300027267,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"May 16, 1960",1960-05-16,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Law reform,fast,http://id.worldcat.org/fast/00994081,Wiretapping--Law and legislation,fast,http://id.worldcat.org/fast/01176229,,,,,,,,,,,"Bulletin, Vol. 52, 1960 May-1961 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131047_001,RBML_NYCCC_100131047,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131047,filename,httpwwwcolumbia_c5d542efb4.educgi-binculdevdlo2obj=rbml_nyccc_100131047,,Page 97,,,2728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/workers/criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131047_002,RBML_NYCCC_100131047,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131047a,filename,httpwwwcolumbia_9c708f3180.educgi-binculdevdlo2obj=rbml_nyccc_100131047a,,Page 98,,,2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131046,,item,,,,,,"Letter on Harbor Defense by John E. Wool, February 18, 1863",230,30,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VII: Correspondence, 1804-1979",2,subseries,"Subseries VII.3: Subject Files, 1804-1979 ","Wool, John Ellis, 1784-1869",personal,naf,http://id.loc.gov/authorities/names/n86141979,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"February 18, 1863",1863-02-18,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Coast defenses,fast,http://id.worldcat.org/fast/00865711,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,"Head Quarters Dept. of the East
New York 18th February 1863

Sir:

The Chamber of Commerce has expressed a desire to cooperate with me in regard to the defences of this City, and to render any aid in their power to place the City in a defensive condition.

I have represented to the Secretary of War of the necessity of a ship of war, or several gunboats to be placed between the Narrows and Sandy Hook. The Alabama or any other armed vessel could enter the Bay and destroy many vessels without the fear of being molested or interfered with. 

I ask your influence to hasten what I have required. The sooner it is done the better it will be for your City and would not fail to quiet the apprehensions of the citizens.
I have the honor to be very respectfully

P. Perrit Esqr.
President, Chamber of Commerce N.Y.	

Your obt Servt.
John E. Wool
Maiden Lane
",,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131046_001,RBML_NYCCC_100131046,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131046,filename,httpwwwcolumbia_1cadfc9292.educgi-binculdevdlo2obj=rbml_nyccc_100131046,,"Letter on Harbor Defense by John E. Wool, February 18, 1863",,,2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/crisis/privateers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131045,,item,,,,,,Grant's Tomb Blueprints,230,29,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VII: Correspondence, 1804-1979",2,subseries,"Subseries VII.3: Subject Files, 1804-1979 ","Hollerith, George C.",personal,,,Surveyor,marcrelator,http://id.loc.gov/vocabulary/relators/srv,TRUE,,,,,,,,,still image,architectural drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm000455,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"August 17, 1929",1929-08-17,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,"Grant, Ulysses S. (Ulysses Simpson), 1822-1885",personal,naf,http://id.loc.gov/authorities/names/n80126151,,,,,,,,,,,,,,,,,Presidents--Tombs,fast,http://id.worldcat.org/fast/01075822,,,,,,,"General Grant National Memorial (New York, N.Y.)",lcsh,http://id.loc.gov/authorities/subjects/sh97003455,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131045_001,RBML_NYCCC_100131045,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131045,filename,httpwwwcolumbia_47a0512280.educgi-binculdevdlo2obj=rbml_nyccc_100131045,,Grant's Tomb Blueprints,,,2726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/memory/grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
