identifier_omeka,item - public,item - featured,note,form,keyDate_start,dateQualifier,digitalOrigin,physicalLocation,relatedItem_collection,languageOfCataloging,shelfLocator,place,place 2,name_primary,dateCreated,title,language,abstract,subject_topic,accessCondition,publisher,identifier_clio,source,note_filename,	typeOfResource,relatedItem_Project,location_url_ObjectInContext,note_ownership,rightsHolder
7006,1,0,periodicals|original filename: 120119171.tif,periodicals,1958 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,New York,"Slonimsky, Nicolas|Kay, Ulysses, 1917-1995",1958,"American Composers Alliance Bulletin: Ulysses Kay, page 1",eng,,,,American Composers Alliance,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119171.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7005,1,0,original filename: 120119170.tif,periodicals,1958 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,New York,"Slonimsky, Nicolas, 1894-1995|American Composers Alliance",1958,"American Composers Alliance Bulletin: Ulysses Kay, page 11",eng,List of Ulysses Kay's works,"Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119170.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/american-composers-association/slonimsky-brochure,,
7004,1,0,original filename: 120119169.tif,periodicals,1958 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,New York,"Slonimsky, Nicolas, 1894-1995|American Composers Alliance",1958,"American Composers Alliance Bulletin: Ulysses Kay, page 10",eng,List of Ulysses Kay's works,"Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119169.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/american-composers-association/slonimsky-brochure,,
7003,1,0,original filename: 120119168.tif,periodicals,1958 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,New York,"Slonimsky, Nicolas, 1894-1995|American Composers Alliance",1958,"American Composers Alliance Bulletin: Ulysses Kay, page 9",eng,List of Ulysses Kay's works,"Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119168.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/american-composers-association/slonimsky-brochure,,
7002,1,0,original filename: 120119167.tif,periodicals,1958 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,New York,"Slonimsky, Nicolas, 1894-1995|American Composers Alliance",1958,"American Composers Alliance Bulletin: Ulysses Kay, page 8",eng,List of Ulysses Kay's works,"Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119167.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/american-composers-association/slonimsky-brochure,,
7001,1,0,original filename: 120119166.tif,periodicals,1958 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,New York,"Slonimsky, Nicolas, 1894-1995|American Composers Alliance",1958,"American Composers Alliance Bulletin: Ulysses Kay, page 7",eng,List of works by Ulysses Kay,"Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119166.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/american-composers-association/slonimsky-brochure,,
7000,1,0,original filename: 120119165.tif,periodicals,1958 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,,,New York,"Slonimsky, Nicolas, 1894-1995|American Composers Alliance",1958,"American Composers Alliance Bulletin: Ulysses Kay, cover",eng,,"Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119165.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/american-composers-association/aca-bulletin,,
6999,1,0,holograph manuscript|original filename: 120119164.tif,manuscripts,1979 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 4, Folder 34",,,"Kay, Ulysses, 1917-1995",1979,"Work In Progress: Jersey Hours, page 8",eng,,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119164.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6998,1,0,holograph manuscript|original filename: 120119163.tif,manuscripts,1979 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 4, Folder 34",,,"Kay, Ulysses, 1917-1995",1979,"Work In Progress: Jersey Hours, page 7",eng,,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119163.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6997,1,0,holograph manuscript|original filename: 120119162.tif,manuscripts,1979 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 4, Folder 34",,,"Kay, Ulysses, 1917-1995",1979,"Work In Progress: Jersey Hours, page 6",eng,,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119162.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6996,1,0,holograph manuscript|original filename: 120119161.tif,manuscripts,1979 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 4, Folder 34",,,"Kay, Ulysses, 1917-1995",1979,"Work In Progress: Jersey Hours, page 5",eng,,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119161.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6995,1,0,holograph manuscript|original filename: 120119160.tif,manuscripts,1979 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 4, Folder 34",,,"Kay, Ulysses, 1917-1995",1979,"Work In Progress: Jersey Hours, page 4",eng,,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119160.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6994,1,0,holograph manuscript|original filename: 120119159.tif,manuscripts,1979 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 4, Folder 34",,,"Kay, Ulysses, 1917-1995",1979,"Work In Progress: Jersey Hours, page 3",eng,,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119159.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6993,1,0,holograph manuscript|original filename: 120119158.tif,manuscripts,1979 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 4, Folder 34",,,"Kay, Ulysses, 1917-1995",1979,"Work In Progress: Jersey Hours, page 2",eng,,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119158.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6992,1,0,holograph manuscript|original filename: 120119157.tif,manuscripts,1979 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 4, Folder 34",,,"Kay, Ulysses, 1917-1995",1979,"Work In Progress: Jersey Hours, page 1",eng,,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119157.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6991,1,0,Duchess Music Corporation publisher on first page of score; Leeds Music Corporation publisher on front cover.|original filename: 120119156.tif,music,1956 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 1, Folder 36",,,"Kay, Ulysses, 1917-1995|More, Helen F.",1956,"What's in a Name, page 2",eng,For chorus (SSATB) a cappella,,Ulysses Kay Estate,Duchess Music Corporation|Leeds Music Corporation,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119156.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/what-s-in-a-name,,
6990,1,0,Duchess Music Corporation publisher on first page of score; Leeds Music Corporation publisher on front cover.|original filename: 120119155.tif,music,1956 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 1, Folder 36",,,"Kay, Ulysses, 1917-1995|More, Helen F.",1956,"What's in a Name, front cover",eng,page 1 of score; for chorus (SSATB) a cappella,,Ulysses Kay Estate,Duchess Music Corporation|Leeds Music Corporation,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119155.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/what-s-in-a-name,,
6989,1,0,photostat of holograph manuscript|original filename: 120119154.tif,manuscripts,1983 ,approximate,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 32, Folder 10",,,"Kay, Ulysses, 1917-1995",1983,"Tromba, page 1",eng,"Suite for B-Flat Trumpet and Piano; full score. Commissioned by Fred Irby, III, Professor of Trumpet Howard University, Washington, D.C.",,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119154.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/chamber-music/tromba-for-trumpet-and-piano,,
6988,1,0,original filename: 120119153.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, front cover",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119153.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6987,1,0,original filename: 120119152.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 94",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119152.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6986,1,0,original filename: 120119151.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 9",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119151.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
6985,1,0,original filename: 120119150.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 8",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119150.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6984,1,0,original filename: 120119149.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 7",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119149.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6983,1,0,original filename: 120119148.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 6",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119148.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6982,1,0,original filename: 120119147.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 5",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119147.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6981,1,0,original filename: 120119146.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 4",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119146.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6980,1,0,original filename: 120119145.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 3",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119145.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6979,1,0,original filename: 120119144.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 2",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119144.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6978,1,0,original filename: 120119143.tif,manuscripts|music,1968 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 63,,,"Kay, Ulysses, 1917-1995",1968,"Theater Set, page 1",eng,"Score of ""Theater Set"" for orchestra by Ulysses Kay. Photostatic copy of holograph manuscript, with holograph corrections in red pencil",,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119143.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/theater-set,,
6977,1,0,photostat of holograph manuscript|original filename: 120119142.tif,manuscripts|music,1967 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 62,,,"Kay, Ulysses, 1917-1995",1967,"Symphony I, page 1",eng,Score of Symphony I by Ulysses Kay,,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119142.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/symphony,,
6976,1,0,photostat of holograph manuscript|original filename: 120119141.tif,manuscripts,1967 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Box 62,,,"Kay, Ulysses, 1917-1995",1967,"Symphony I, front cover",eng,Score of Sympony by Ulysses Kay,,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119141.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/symphony,,
6975,1,0,typescript with holograph notes in pencil|original filename: 120119138.tif - 120119140.tif,manuscripts,1967 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 2, Folder 36",,,"Kay, Ulysses, 1917-1995|Crane, Stephen, 1871-1900",1967,"Stephen Crane Set text, pages 1 to 3",eng,Chorus and instrumental ensemble,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119138.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119139.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119140.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/stephen-crane-set,,
6974,1,0,holograph manuscript|original filename: 120119134.tif - 120119137.tif,manuscripts,1967-04-05 1967-04-19,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 2, Folder 37",,,"Kay, Ulysses, 1917-1995|Crane, Stephen, 1871-1900","April 5 and 19, 1967","Stephen Crane Set sketch, pages 1 to 4",eng,Chorus and instrumental ensemble,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119134.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119135.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119136.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119137.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/stephen-crane-set,,
6973,1,0,original filename: 120119133.tif,manuscripts|music,1953 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 11, Folder 3",,,"Kay, Ulysses, 1917-1995|Melville, Herman, 1819-1891",1953,"Song of Ahab, page 3",eng,"Song of Ahab: Full Score; for solo baritone, 10 instruments",,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119133.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/song-of-ahab,,
6972,1,0,original filename: 120119132.tif,manuscripts|music,1953 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 11, Folder 3",,,"Kay, Ulysses, 1917-1995|Melville, Herman, 1819-1891",1953,"Song of Ahab, page 2",eng,"Song of Ahab: full score; for solo baritone, 10 instruments",,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119132.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/song-of-ahab,,
6971,1,0,original filename: 120119131.tif,manuscripts|music,1953 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 11, Folder 3",,,"Kay, Ulysses, 1917-1995|Melville, Herman, 1819-1891",1953,"Song of Ahab, page 137",eng,"Song of Ahab: Full Score; for solo baritone, 10 instruments",,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119131.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/song-of-ahab,,
6970,1,0,original filename: 120119130.tif,manuscripts|music,1953 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 11, Folder 3",,,"Kay, Ulysses, 1917-1995|Melville, Herman, 1819-1891",1953,"Song of Ahab, page 1",eng,"Song of Ahab: Full Score, page 1 - Title Page; for solo baritone, 10 instruments",,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119130.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/song-of-ahab,,
6969,1,0,holograph manuscript|original filename: 120119129.tif,manuscripts|music,1941 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 6, Folder 16",,,"Kay, Ulysses, 1917-1995",1941,"Sonata, page 1",eng,Score for bassoon and piano,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119129.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/chamber-music/sonata-for-bassoon,,
6968,1,0,original filename: 120119125.tif - 120119128.tif,music,1965 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 1, Folder 85",,,"Kay, Ulysses, 1917-1995",1965,"Six Dances, pages 15 to 18",eng,"Score of Ulysses Kay's ""Six Dances for String Orchestra,"" with the alternative title ""American Dances,"" consists of ""Schottische,"" ""Waltz,"" ""Round Dance,"" ""Polka,"" ""Promenade,"" and ""Galop."" ",,,Leeds Music,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119125.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119126.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119127.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119128.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/string-orchestra/six-dances-for-string-orchestr,,
6967,1,0,original filename: 120119124.tif,music,1965 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 1, Folder 85",,,"Kay, Ulysses, 1917-1995",1965,"Six Dances, cover",eng,"Score of Ulysses Kay's ""Six Dances for String Orchestra,"" with the alternative title ""American Dances,"" consists of ""Schottische,"" ""Waltz,"" ""Round Dance,"" ""Polka,"" ""Promenade,"" and ""Galop."" ",,,Leeds Music,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119124.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/string-orchestra/six-dances-for-string-orchestr,,
6966,1,0,holograph manuscript|original filename: 120119123.tif,manuscripts,1950-02-23 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 10, Folder 8",,,"Kay, Ulysses, 1917-1995","February 23, 1950","Sinfonia in E for Orchestra Sketches, bars 48 to 50",eng,,,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119123.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/sinfonia-in-e,,
6965,1,0,holograph manuscript|original filename: 120119122.tif,manuscripts,1950-02-23 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 10, Folder 8",,,"Kay, Ulysses, 1917-1995","February 23, 1950","Sinfonia in E for Orchestra Sketches, bars 45 to 47",eng,,,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119122.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/sinfonia-in-e,,
6964,1,0,holograph manuscript|original filename: 120119121.tif,manuscripts,1950-02-23 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 10, Folder 8",,,"Kay, Ulysses, 1917-1995","February 23, 1950","Sinfonia in E for Orchestra Sketches, bars 42 to 44",eng,,,,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119121.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/sinfonia-in-e,,
6963,1,0,original filename: 120119110.tif - 120119120.tif,music,1975 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 1, Folder 27",,,"Kay, Ulysses, 1917-1995",1975,"Sinfonia in E for Orchestra, pages 70 to 80",eng,,,,Pembroke Music Company,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119110.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119111.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119112.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119113.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119114.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119115.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119116.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119117.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119118.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119119.jpg|http://ldpd.lampdev.columbia.edu/kay_music_120119/120119120.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/sinfonia-in-e,,
6962,1,0,original filename: 120119109.tif,music,1975 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 1, Folder 27",,,"Kay, Ulysses, 1917-1995",1975,"Sinfonia in E for Orchestra, front cover",eng,,,,Pembroke Music Company,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119109.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/sinfonia-in-e,,
6961,1,0,holograph manuscript|original filename: 120119108.tif,manuscripts,1973-07-17 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 28, Folder 11",,,"Kay, Ulysses, 1917-1995","July 17, 1973","Second Nocturne, page 1",eng,Score for piano; Commissioned by Mrs. Eric Stein,,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119108.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/keyboard-music/nocturnes-for-piano,,
6960,1,0,holograph manuscript|original filename: 120119107.tif,manuscripts|music,1946 ,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Box 8, Folder 9",,,"Kay, Ulysses, 1917-1995",1946,"Rope: A Design for Dance, title page",eng,"Score of ""The Rope: a design for dance, after William Blake"", music for dance and piano; Commissioned by Eleanore Goff, dancer",,Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119107.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/ballet-music/the-rope,,
