relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameType 2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,nameType 3,nameRelator 3,name_authority 3,name_authority_identifier 3,keyDate -_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,Source,citation,physicalLocation,physicalLocation_authority,shelfLocator,shelfLocator 2,sublocation,note,note 2,note_filename,note_filename 2,note_filename 3,note_filename 4,note_filename 5,note_filename 6,note_filename 7,note_filename 8,note_filename 9,note_filename 10,note_filename 11,note_filename 12,digitalOrigin,extent,extent 2,form,form_authority,form 2,form_authority 2,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,note_relatedItem,subject_topic,subject_topic_authority,subject_topic_authority_identifer,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,title_nonsort,title1,identifier_title,partName,title2,title2_type
George Washington papers,"Washington, George, 1732-1799",,,,,"Pike, Nicolas, 1743-1819",,,,,,,,,,1786-06-29 ,,ex,"June 20, 1786",,0,1,,26,,,,eng,,,,nnc-rb,,,,,original filename: plmptn_153_001,,plmptn_153_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,,,Mount Vernon,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,,eng,,"Pike, Nicolas, 1743-1819",,,Education,,,,,,,,,,,,,,,,"Autograph letter by George Washington, signed, to Nicholas Pike",,,,
Plimpton ,,,,,,,,,,,,,,,,1380 1399,,ap,End of the 14th century,,0,1,,27,,,,fre,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/encyclopedias/page-1,,,nnc-rb,,Plimpton MS 286,,,"original filenames:
    plmptn_004_001
    plmptn_004_002
    plmptn_004_003
    plmptn_004_004
    plmptn_004_005
    plmptn_004_006
    plmptn_004_007
    plmptn_004_008
    plmptn_004_009
    plmptn_004_010
",,plmptn_004_001.jpg,plmptn_004_002.jpg,plmptn_004_003.jpg,plmptn_004_004.jpg,plmptn_004_005.jpg,plmptn_004_006.jpg,plmptn_004_007.jpg,plmptn_004_008.jpg,plmptn_004_009.jpg,plmptn_004_010.jpg,,,rd,1 page (scroll),10 images,manuscripts,,,,France,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,History,,,,,,,,,,,,,,,,,,,Chronique Universelle ,,,,
Plimpton ,"Peter Lombard, Bishop of Paris, ca. 1100-1160",,,,,,,,,,,,,,,1225 1249,,ex,Second quarter of 13th century,,0,1,,28,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-3,,,nnc-rb,,Plimpton MS 061,,,original filename: plmptn_010_001,,plmptn_010_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,France,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Catholic Church,,,,,,,,,,,,,,,,,,,Sententiarum libri IV,,,Sententiae,
Plimpton ,"Wingate, Edmund, 1596-1656",,,,,,,,,,,,,,,1630 ,,ex,1630,,0,1,CLIO id: 1367030,29,,,,eng,,,,nnc-rb,,PLIMP 511 1630 W72,,,MS 511 1630,original filename: plmptn_087_001,plmptn_087_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,Printed for Phil. Stephens and Chr. Meredith,eng,, Arithmetic,,,,,,,,,,,,,,,,,,,Arithmetiqve made easie,,,,
Plimpton,"Otis, James, 1725-1783",,,,,,,,,,,,,,,1760 ,,ex,1760,,0,1,,30,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,,,nnc-rb,,Plimpton A478 1760 Ot4,,,original filename: plmptn_051_001,,plmptn_051_001.jpg,,,,,,,,,,,,rd,cover,1 image,books,,,,Boston,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed and sold by Benjamin Mecom,eng,,Latin language--Grammar,,,,,,,,,,,,,,,,,,,Rudiments of Latin Prosody ,,,,
Plimpton Slavery Coll,"Johnston, John ",,,,,,,,,,,,,,,1791 1792,,ex,1791-1792,,0,1,,31,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/slavery/page-1,,,nnc-rb,,Plimpton Slavery Collection,,,original filename: PLMPTN_120_001,,PLMPTN_120_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,manuscripts,,,,South Carolina?,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Slavery,,,,,,,,,,,,,,,,,,,"Account book of slave trading expedition, 1791-1792",,,,
,"Butler, Nicholas Murray, 1862-1947",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1930-08-08 ,,ex,"Aug. 8, 1930",,0,1,,32,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-2,,,nnc-rb,,,,,original filename: plmptn_096_001,,plmptn_096_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,,,"Southampton, New York",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,,eng,,Butler Library,,,,,,,,,,,,,,,,,,,Letter to George A. Plimpton regarding new building and collection ,,,,
Plimpton ,"Jazarī, Ḥaydar ibn 'Abd al-Raḥmān
 ",,,,,"Bukhārī, 'Abd Allāh",,,,,ʻAbd Allāh al-Bukhārī (scribe),,,,,1726-02-22 ,,ex,"22 February 1726 (19 Jumādā II, 1138)",,0,1,,33,Still Image,Original Format: book,Physical Dimensions: 21 x 16 cm,ara,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,,unpublished,nnc-rb,,Oriental Manuscripts 284,,,"in this copy the treatise in 10 chapters is followed by a concise commentary
a title is not included into the copy's colophon
the scribe names himself in the dated colophon

references:
Brockelmann S II, p. 1020 s.v. #33
D. A. King, Survey of the Scientific Manuscripts in the Egyptian National Library (Winona Lake, Ind., 1986), p. 162 s.v. G77",original filename: plmptn_080_001,plmptn_080_001.jpg,,,,,,,,,,,,rd,"the treatise is written on laid paper with visible regular chainlines, but the flyleaves are machine-made wove paper
rubrication
diagrams
binding is not contemporary with the textblock
",,manuscripts,,,,Iraq?,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Astrolabes,,,,,,,,,Arab provinces of the Ottoman Empire,,,,,,,,,,Risālah fī al-ʻamal bi'l-asṭurlāb,,,Treatise concerning the use of the astrolabe,
"George A. Plimpton Papers, 1634-1956","Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,,,,,,1929 1930,,ap,circa 1930,,0,1,,34,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/slavery/page-1,,,nnc-rb,,Box 37,,,original filename: plmptn_135_001,,plmptn_135_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Slavery,,,,,,,,,,,,,,,,,,,Introduction to the facsimile of of the John Johnston account book,,,Slavery is as old as mankind … ,
Incunabula ,"Ptolemy, 2nd cent.",,,,,,,,,,,,,,,1484-01-15 ,,ex,"January 15, 1484",,0,1,CLIO id: 1079623,35,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-4,,,nnc-rb,,Incunabula Goff P-1088,,,original filename: plmptn_037_001,,plmptn_037_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,books,,,,Venice,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Erhard Ratdolt,eng,,"Astrology, Greek",,,,,,,,,,,,,,,,,,,Quadripartitum ,,,,
Plimpton Papers,Friends of the Columbia Libraries,,,,,,,,,,,,,,,1937-08 ,,ex,Aug. 1937,,0,1,CLIO id: 3402156,36,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-2,,,nnc-rb,,,,,Plimpton Coll File Folder,original filename: plmptn_119_001,plmptn_119_001.jpg,,,,,,,,,,,,rd,page 1  ,1 image,periodicals,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,The Friends of the Library of Columbia University,eng, ,Friends of the Columbia Libraries,,,,,,,,,,,,,,,,,,,"Bibliotheca Columbiana, Number 4, August 1937",,,,
"George A. Plimpton Papers, 1634-1956 ","Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,,,,,,1925 1927,,ap,circa 1926,,0,1,,37,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-1,Plimpton Papers Old Box 37 ,,nnc-rb,,Old Box 37,,,original filename: plmptn_141_001,,plmptn_141_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,,,,,,,,,,Fifty Years as a Publisher,,,,
Plimpton Papers,"Lamont, Thomas W. (Thomas William), 1870-1948",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1935-12-16 ,,ex,"Dec. 16, 1935",,0,1,,20,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,,,nnc-rb,,,,,original filename: plmptn_149_001,,plmptn_149_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Phillips Exeter Academy,,,,,,,,,,,,,,,,,,,"Letter to George Arthur Plimpton, Dec. 16, 1935",,,,
Plimpton ,"Comenius, Johann Amos, 1592-1670",,,,,"Hoole, Charles, 1610-1667",,,,,,,,,,1672 ,,ex,1672,,0,1,,19,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-2,,,nnc-rb,,Plimpton 473 1672 C73,,,original filename: plmptn_133_001,,plmptn_133_001.jpg,,,,,,,,,,,,rd,pages 186-187,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,"Printed by T. R. for S. Mearne, Book-binder",eng,,Latin language ,,,,,,,,,,,,,,,,,,,Orbis sensualium pictus,,,Commenius’s Visible World,
,"Bacon, Francis, 1561-1626",,,,,,,,,,,,,,,1640 ,,ex,1640,,0,1,CLIO id: 2451401,2,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,,,nnc-rb,,Plimpton 190 1640 B13 (STC 1167),,,original filename: PLMPTN_054_001,,PLMPTN_054_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,books,,,,Oxford,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed by Leon. Lichfield for Robert Young & Edward Forrest,eng,,Science,,,,,,,,,,,,,,,,,,,"Of the Advancement and Proficience of Learning, or, the Partitions of Sciences",,,Partitions of Sciences,
Plimpton Papers,"Harding, Warren G. (Warren Gamaliel), 1865-1923",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1922-03-04 ,,ex,"Oct. 22, 1922",,0,1,,3,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,,,nnc-rb,,,,,original filename: plmptn_150_001,,plmptn_150_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,Telegraph,,"Washington, D.C.",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,American Red Cross,,,,,,,,,,,,,,,,,,,"Telegram to George Arthur Plimpton, October 22, 1922",,,,
Plimpton Family Papers,Wellesley College Library,,,,,"Plimpton, Frances Taylor Pearsons, 1861-1900",,,,,,,,,,1895 1905,,ap,circa 1900,,0,1,,4,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-3,,,nnc-rb,,,,,original filename: plmptn_100_001,,plmptn_100_001.jpg,,,,,,,,,,,,rd,1 page,1 image,printed ephemera,,Bookplates,,"Wellesley, Mass.",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Wellesley College Library,eng,,Wellesley College Library,,,,,,,,,,,,,,,,,,,Wellesley College Library Bookplate ,,,,
Plimpton ,Pseudo-Cicero,,,,,"Feliciano, Felice, 15th cent.",,,,,,,,,,1403 1470,,ap,Mid 15th century,,0,1,,5,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-2,,,nnc-rb,,Plimpton MS 102,,,original filename: plmptn_023_001,,plmptn_023_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,"Verona, Italy",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Rhetoric,,,,,,,,,,,,,,,,,,,Rhetorica ad Herennium ,,,,
Plimpton Family Papers,Amherst College,,,,,,,,,,,,,,,1932 1934,,ap,circa 1933,,0,1,,6,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,,,nnc-rb,,,,,original filename: PLMPTN_162_001,,PLMPTN_162_001.jpg,,,,,,,,,,,,rd,1 photoprint,1 image,photographs,,"Portraits, group",,"Amherst, Mass.",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Amherst College,,,,,,,,,,,,,,,,,,,Amherst Class of 1876 ,,,,
Plimpton ,"Khuwārizmī, Muḥammad ibn Mūsá, fl. 813-846",,,,,,,,,,,,,,,1455 1457,,ap,circa 1456,,0,1,,7,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-5,,,nnc-rb,,Plimpton MS 188,,,original filename: plmptn_040_001,,plmptn_040_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Germany,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Mathematics,,,,,,,,,,,,,,,,,,,Liber mahometi de Algebra ,,,,
Plimpton Papers,"Brownell, S. B.",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1902-04-03 ,,ex,"Apr. 3, 1902",,0,1,,8,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-1,,,nnc-rb,,,,,"original filenames:
plmptn_107_001
plmptn_107_002
plmptn_107_003
plmptn_107_004",,plmptn_107_001.jpg,plmptn_107_002.jpg,plmptn_107_003.jpg,plmptn_107_004.jpg,,,,,,,,,rd,4 pages,4 images,correspondence,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Women--Education,,,,,,,,,,,,,,,,,,,"Letter to George A. Plimpton, April 3, 1902",,,,
Incunabula ,Anianus,,,,,,,,,,,,,,,1488 1492,,ap,circa 1490,,0,1,CLIO id: 1623605,9,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-4,,,nnc-rb,,Incunabula Goff A-734 (Plimpton 529 1490),,,original filename: plmptn_038_001,,plmptn_038_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,books,,,,Basel,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton, Lienhart Ysenhut,eng,,Calendar,,,,,,,,,,,,,,,,,,,Computus cum Commento ,,,,
Plimpton ,"Cocker, Edward, 1631-1675",,,,,,,,,,,,,,,1666 ,,ex,1666,,0,1,CLIO id: 1982310,10,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-2,,,nnc-rb,,Plimpton 092 1666 C64,,,original filename: plmptn_066_001,,plmptn_066_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,"Printed for, and are to be sold by John Overton",eng,,Penmanship,,,,,,,,,,,,,,,,,,,"Arts Glory, or, The Pen-Mans Treasury ",,, Pen-Mans Treasury,
Plimpton ,"Gaskell, G. A. (George A.), b. 1844",,,,,,,,,,,,,,,1876 ,,ex,1876,,0,1,CLIO id: 1905301,11,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-5,,,nnc-rb,,Plimpton A091 1876 G21,,,"original filenames: 
plmptn_077_001
plmptn_077_002",,plmptn_077_001.jpg,plmptn_077_002.jpg,,,,,,,,,,,rd,2 pages,2 images,books,,,,"Manchester, N. H.",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Published at [Gaskell’s Bryant & Stratton] College,eng,,Penmanship,,,,,,,,,,,,,,,,,,,Gaskell’s Complete Compendium of Elegant Writing,,,,
Plimpton ,"Lenthall, John,  stationer",,,,,"Lily, William, 1468?-1522",,,,,,,,,,1698 1702,,ap,Circa 1700,52 cards. Imperfect: 2 cards missing (10 of clubs; 8 of diamonds) ,0,1,,13,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,,,nnc-rb,,Plimpton 478 1700 L54,,,52 cards. Imperfect: 2 cards missing (10 of clubs; 8 of diamonds),original filename: PLMPTN_049_001,PLMPTN_049_001.jpg,,,,,,,,,,,,rd,6 cards,1 image,playing cards,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Sold by John Lenthall Stationer,eng,,Latin language--Grammar,,,,,,,,,,,,,,,,,,,"Gramaticall Cards, Comprising the Generall Rules of Lilley’s Gramer",,,,
Plimpton,"Reisch, Gregor, d. 1525",,,,,,,,,,,,,,,1503 ,,ex,1503,,0,1,CLIO id: 2428665,14,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/reich/page-1,,,nnc-rb,,Plimpton 080.7 1503 R27,,,original filename: plmptn_014_001,,plmptn_014_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Freiburg im Breisgau,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Chalchographatum primiciali hac pressura Friburgi p[er] ioanne[m] Schottu[m] Argen[toraci] ,eng,,"Encyclopedias and dictionaries, Latin",,,,,,,,,,,,,,,,,,,Margarita Philosophica ,,,,
"Plimpton Family, Homes, Photos",,,,,,,,,,,,,,,,1900 1925,,ap,Early 20th century?,,0,1,,15,,,,eng,,,,nnc-rb,,,,,original filename: plmptn_155_001,,plmptn_155_001.jpg,,,,,,,,,,,,rd,1 photoprint,1 image,photographs,,,,"Walpole, Massachusetts",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,,eng,,"Lewis Farm (Walpole, Mass.)",,,,,,,,,,,,,,,,,,,Lewis Farm ,,,,
Plimpton ,"Moore, Francis M. ǂq (Francis Marion), b. 1846",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1926-08-18 ,,ex,"Aug. 18, 1926",,0,1,,16,,,,eng,,,,nnc-rb,,,,,A091 1926 M78 (laid in),original filename: plmptn_079_001,plmptn_079_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,,eng,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,,,,,,,,,,"Letter to George Arthur Plimpton, August 18th, 1926",,,,
Plimpton ,"Boethius, d. 524",,,,,,,,,,,,,,,1150 1199,,ap,Second half of 12th century,,0,1,,17,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-1,,,nnc-rb,,Plimpton MS 045,,,original filename: plmptn_042_001,,plmptn_042_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Germany,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Music theory,,,,,,,,,,,,,,,,,,,De Institutione Musica ,,,,
Plimpton ,,,,,,,,,,,,,,,,1467 1469,,ap,In or after 1467,,0,1,,18,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-2,,,nnc-rb,,Plimpton MS 136,,,original filename: plmptn_007_001,,plmptn_007_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,"Florence, Italy",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Latin language--Grammar,,,,,,,,,,,,,,,,,,,Latin Grammar ,,,,
,Euclid,,,,,"Billingsley, Henry, Sir, d. 1606",,,,,,,,,,1570 ,,ex,1570,,0,1,CLIO id: 5551593,38,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,,,nnc-rb,,Plimpton 513 1570 Eu2 (STC 10560),,,original filename: plmptn_082_001,,plmptn_082_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,John Daye,eng,,Geometry,,,,,,,,,,,,,,,,,,,Elements of Geometrie of the most auncient philosopher Euclide of Megara,,,,
Plimpton ,,,,,,,,,,,,,,,,1600 1649,,ap,First half of the 17th century,,0,1,,40,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-4,,,nnc-rb,,,,,MS 022,original filename: plmptn_025_001,plmptn_025_001.jpg,,,,,,,,,,,,rd,page 98,1 image,manuscripts,,,,"Douai, France",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Aristotle,,,,,,,,,,,,,,,,,,,Student Notes on Aristotle’s Logical Works ,,,,
Plimpton Papers,"Plimpton, George A. (George Arthur), 1855-1936",,,,,"Hazard, Caroline, 1856-1945",,,,,,,,,,1901-02-01 ,,ex,"Feb. 2, 1901",,0,1,,41,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-3,,,nnc-rb,,,,,original filename: plmptn_146_001,,plmptn_146_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Wellesley College Library,,,,,,,,,,,,,,,,,,,Letter to Caroline Hazard ,,,,
Incunabula,"Donatus, Aelius",,,,,,,,,,,,,,,1458 1460,,ap,ca. 1458-1460,,0,1,,62,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-1,,,nnc-rb,,Plimpton Collection (Goff D316),,,"original filenames:
plmptn_113_001
plmptn_113_002",,plmptn_113_001.jpg,plmptn_113_002.jpg,,,,,,,,,,,rd,2 pages,2 images,books,,,,Bamberg,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Albrecht Pfister,eng,,Latin language--Grammar,,,,,,,,,,,,,,,,,,,"Ars minor, fragment ",,,,
Plimpton Family Papers,"Plimpton, George A. (George Arthur), 1855-1936",,,,,"Plimpton, Frances Taylor Pearsons, 1861-1900",,,,,,,,,,1890 1899,,ap,ca. 1890's,,0,1,,63,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-2,,,nnc-rb,,,,,original filename: plmptn_103_001,,plmptn_103_001.jpg,,,,,,,,,,,,rd,1 photoprint,1 image,photographs,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Plimpton family,,,,,,,,,,,,,,,,,,,Photograph of Frances T.P. and George A. Plimpton,,,,
Plimpton Papers,"Plimpton, George A. (George Arthur), 1855-1936",,,,,"Holt, Hamilton, 1872-1951",,,,,,,,,,1917-01-17 ,,ex,"Jan. 11, 1917",,0,1,,64,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,,,nnc-rb,,,,,original filename: plmptn_139_001,,plmptn_139_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Church Peace Union,,,,,,,,,,,,,,,,,,,"Letter To The Independent, 11 January 1917 (carbon)",,,,
Plimpton ,"Erasmus, Desiderius, d. 1536",,,,,,,,,,,,,,,1520 ,,ex,1520,,0,1,CLIO id: 6204041,66,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,,,nnc-rb,,Plimpton 879.8 1520 Er153,,,original filename: plmptn_045_001,,plmptn_045_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Leipzig,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,V. Schumann,eng,,"Dialogues, Latin",,,,,,,,,,,,,,,,,,,"Familiarium Colloquiorum Formulae, in Graciam Juventutis Recognite ab Erasmo Roterdamo",,,,
Plimpton Family Papers,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,,,,,,1934-11 ,,ex,Nov. 1934,,0,1,,67,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-5,,,nnc-rb,,,,,"Plimpton Family, photos, extended family",original filename: plmptn_156_001,plmptn_156_001.jpg,,,,,,,,,,,,rd,1 photoprint,1 image,photographs,,"Portraits, Group",,"Walpole, Massachusetts",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Plimpton family,,,,,,,,,,,,,,,,,,,Thanksgiving 1934,,,,
Plimpton Papers,"Butler, Nicholas Murray, 1862-1947",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1928-06-28 ,,ex,"June 28, 1928",,0,1,,68,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-1,,,nnc-rb,,,,,"original filename: plmptn_108_001
",,plmptn_108_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,,,"Southampton, L.I.",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Friends of the Columbia Libraries,,,,,,,,,,,,,,,,,,,Letter to George Arthur Plimpton regarding  Friends of the Library,,,,
